,mda_round,tc,beta,pfpr0,cr_factor,mda_coverage,strategy,b_drug
0,0,0.55,0.06413,3.0,1,0.6,AAB,OZFQ
1,0,0.55,0.06413,3.0,1,0.6,ABA,OZFQ
2,0,0.55,0.06413,3.0,1,0.6,ABB,OZFQ
3,0,0.55,0.06413,3.0,1,0.7,AAB,OZFQ
4,0,0.55,0.06413,3.0,1,0.7,ABA,OZFQ
5,0,0.55,0.06413,3.0,1,0.7,ABB,OZFQ
6,0,0.55,0.06413,3.0,1,0.8,AAB,OZFQ
7,0,0.55,0.06413,3.0,1,0.8,ABA,OZFQ
8,0,0.55,0.06413,3.0,1,0.8,ABB,OZFQ
9,0,0.55,0.06413,3.0,1,0.9,AAB,OZFQ
10,0,0.55,0.06413,3.0,1,0.9,ABA,OZFQ
11,0,0.55,0.06413,3.0,1,0.9,ABB,OZFQ
12,0,0.55,0.06413,3.0,2,0.6,AAB,OZFQ
13,0,0.55,0.06413,3.0,2,0.6,ABA,OZFQ
14,0,0.55,0.06413,3.0,2,0.6,ABB,OZFQ
15,0,0.55,0.06413,3.0,2,0.7,AAB,OZFQ
16,0,0.55,0.06413,3.0,2,0.7,ABA,OZFQ
17,0,0.55,0.06413,3.0,2,0.7,ABB,OZFQ
18,0,0.55,0.06413,3.0,2,0.8,AAB,OZFQ
19,0,0.55,0.06413,3.0,2,0.8,ABA,OZFQ
20,0,0.55,0.06413,3.0,2,0.8,ABB,OZFQ
21,0,0.55,0.06413,3.0,2,0.9,AAB,OZFQ
22,0,0.55,0.06413,3.0,2,0.9,ABA,OZFQ
23,0,0.55,0.06413,3.0,2,0.9,ABB,OZFQ
24,0,0.55,0.06413,3.0,5,0.6,AAB,OZFQ
25,0,0.55,0.06413,3.0,5,0.6,ABA,OZFQ
26,0,0.55,0.06413,3.0,5,0.6,ABB,OZFQ
27,0,0.55,0.06413,3.0,5,0.7,AAB,OZFQ
28,0,0.55,0.06413,3.0,5,0.7,ABA,OZFQ
29,0,0.55,0.06413,3.0,5,0.7,ABB,OZFQ
30,0,0.55,0.06413,3.0,5,0.8,AAB,OZFQ
31,0,0.55,0.06413,3.0,5,0.8,ABA,OZFQ
